Date,Open,High,Low,Close,Volume
2020-02-10,385.33,392.0,385.33,391.31,845700
2020-02-11,388.13,394.33,387.77,389.76,1255400
2020-02-12,391.19,393.26,389.33,392.47,840800
2020-02-13,391.84,396.23,391.84,392.6,723700
2020-02-14,393.59,396.01,389.77,390.89,898900
2020-02-18,393.23,399.36,391.31,395.99,1095300
2020-02-19,394.96,398.11,390.5,392.15,781900
2020-02-20,391.15,395.72,388.69,395.18,1096000
2020-02-21,393.3,394.21,389.37,391.5,642000
2020-02-24,386.15,391.29,385.48,387.77,758200
2020-02-25,389.71,390.9,376.75,377.35,1005800
2020-02-26,379.5,384.21,376.72,377.69,809600
2020-02-27,371.24,380.93,370.06,370.47,1110200
2020-02-28,360.91,372.5,358.87,368.72,1691800
2020-03-02,367.01,378.39,364.45,378.39,1222300
2020-03-03,368.43,380.48,362.25,364.17,1406900
2020-03-04,368.02,377.5,363.62,377.2,734300
2020-03-05,368.87,371.94,358.45,361.33,810200
2020-03-06,354.03,369.57,352.24,368.08,1175800
2020-03-09,358.56,380.0,355.0,373.63,1476900
2020-03-10,381.68,394.55,381.13,393.52,1284100
2020-03-11,385.51,387.47,370.99,374.35,1231700
2020-03-12,359.89,361.66,330.24,330.29,1616600
2020-03-13,344.0,354.92,328.71,354.3,952400
2020-03-16,325.72,336.0,298.53,299.65,1148800
2020-03-17,307.18,331.29,301.89,327.54,1111300
2020-03-18,291.21,312.48,274.94,293.72,1187500
2020-03-19,291.27,306.32,277.36,290.53,936800
2020-03-20,290.73,291.53,261.0,263.77,1104200
2020-03-23,255.85,270.84,251.52,260.92,1900500
2020-03-24,272.27,294.99,271.0,277.13,2921500
2020-03-25,279.51,314.74,274.93,298.92,2171600
2020-03-26,300.0,329.0,300.0,326.74,1602200
2020-03-27,315.1,325.52,307.22,313.43,902900
2020-03-30,315.25,320.85,306.56,318.19,760100
2020-03-31,309.81,313.61,299.37,301.05,1101200
2020-04-01,288.42,300.97,283.59,287.25,1184700
2020-04-02,288.94,303.94,288.94,303.49,1139400
2020-04-03,300.97,302.97,289.31,295.38,1019700
2020-04-06,311.37,337.8,311.37,333.43,1115300
2020-04-07,345.0,348.97,329.19,336.27,940700
2020-04-08,338.55,353.86,336.3,340.03,1002000
2020-04-09,342.95,351.96,338.25,342.44,867100
2020-04-13,341.28,348.94,332.16,347.92,485000
2020-04-14,352.98,362.94,352.98,356.35,643800
2020-04-15,347.0,356.0,344.5,353.89,467700
2020-04-16,361.77,374.94,357.0,367.68,976600
2020-04-17,377.73,385.55,365.59,373.51,669300
