,Date,Index,Industrials,Real Estate,Energy,Information Technology,Utilities,Telecommunication Services,Financials,Consumer Discretionary,Materials,Consumer Staples,Health Care
31,2020-03-12,2480.639892578125,5760.680000000001,3160.2300000000005,559.02,8535.86,1750.9299999999996,90.5,4183.56,7745.929999999998,1977.4,2443.4500000000003,7746.580000000003
32,2020-03-13,2711.02001953125,6185.739999999999,3403.5099999999993,625.61,9380.759999999997,1846.2800000000002,97.33,4627.839999999999,8168.699999999998,2097.89,2619.3999999999996,8276.350000000002
35,2020-03-16,2386.1298828125,5466.580000000002,2875.9100000000003,534.1800000000001,8160.6,1631.98,91.25,3979.629999999999,7147.379999999997,1821.5300000000004,2460.97,7412.010000000001
36,2020-03-17,2529.18994140625,5713.15,3080.0800000000004,522.28,8659.600000000002,1836.3700000000001,97.47999999999999,4238.660000000001,7369.729999999998,1924.8500000000001,2672.5099999999998,7862.840000000003
37,2020-03-18,2398.10009765625,5294.739999999998,2852.9100000000003,463.5199999999999,8228.04,1741.3799999999997,96.09,3854.350000000001,6846.230000000003,1806.29,2592.0400000000004,7526.629999999999
38,2020-03-19,2409.389892578125,5339.67,2791.63,501.46,8378.14,1655.19,93.50999999999999,3929.789999999999,7107.210000000001,1882.92,2534.54,7531.64
39,2020-03-20,2304.919921875,5045.960000000002,2602.5699999999993,511.4199999999999,8038.860000000001,1521.2599999999998,88.09,3802.78,6836.730000000001,1777.5499999999997,2409.3300000000004,7150.59
42,2020-03-23,2237.39990234375,4829.769999999999,2454.1,477.48000000000013,8017.460000000001,1445.8400000000001,84.56,3564.6499999999996,6865.179999999999,1665.6999999999998,2310.2999999999997,6820.189999999999
43,2020-03-24,2447.330078125,5407.629999999999,2672.86,552.93,8752.789999999997,1599.4399999999996,86.77000000000001,4012.3599999999988,7541.5300000000025,1867.85,2430.58,7407.18
44,2020-03-25,2475.56005859375,5660.200000000001,2786.6600000000008,574.13,8675.920000000007,1651.8700000000001,86.14999999999999,4126.109999999999,7673.870000000001,1924.5699999999997,2429.2200000000003,7539.759999999999
45,2020-03-26,2630.070068359375,6031.529999999999,2980.15,606.3299999999999,9249.889999999998,1787.8500000000001,92.1,4436.6100000000015,7984.430000000001,2030.7400000000002,2558.1700000000005,8070.389999999999
46,2020-03-27,2541.469970703125,5788.570000000001,3006.8499999999995,564.2,8826.409999999998,1797.74,90.37,4323.27,7666.87,1961.61,2532.9799999999996,7851.779999999999
49,2020-03-30,2626.64990234375,5880.289999999999,3104.2100000000005,564.2700000000001,9154.670000000002,1859.46,93.5,4442.869999999999,7826.309999999999,2025.63,2622.7099999999996,8197.029999999999
50,2020-03-31,2584.590087890625,5780.049999999999,3012.870000000001,576.59,9046.26,1781.21,91.03999999999999,4302.86,7687.6500000000015,1990.5299999999997,2575.19,8167.189999999997
51,2020-04-01,2470.5,5503.259999999998,2849.7599999999993,545.5500000000001,8579.430000000002,1670.88,88.5,4044.46,7325.990000000001,1902.2100000000003,2533.62,7803.450000000001
52,2020-04-02,2526.89990234375,5619.710000000001,2884.08,594.9200000000001,8743.64,1723.5599999999997,91.5,4135.26,7372.389999999998,1917.3700000000006,2578.5600000000004,7970.239999999998
53,2020-04-03,2488.64990234375,5524.47,2862.849999999999,591.22,8574.880000000001,1661.1799999999994,90.0,4055.4100000000003,7248.800000000002,1852.38,2600.19,7818.260000000002
56,2020-04-06,2663.679931640625,5909.260000000001,3054.44,623.01,9340.090000000002,1790.67,94.22999999999999,4394.619999999999,7922.3499999999985,1986.8999999999999,2694.1000000000004,8380.819999999998
57,2020-04-07,2659.409912109375,5922.28,3036.5599999999995,634.0,9282.430000000002,1770.8999999999999,95.2,4428.630000000001,8061.359999999998,2035.96,2683.74,8345.920000000002
58,2020-04-08,2749.97998046875,6156.009999999999,3243.7100000000005,681.66,9555.21,1868.8899999999999,96.66,4601.610000000002,8312.210000000001,2147.5499999999997,2716.7599999999998,8692.04
59,2020-04-09,2789.820068359375,6234.9800000000005,3397.3700000000003,675.2100000000002,9549.65,1961.1899999999998,98.56,4821.43,8477.990000000002,2228.3900000000003,2746.13,8721.339999999998
63,2020-04-13,2761.6298828125,6069.79,3249.5499999999984,675.5000000000001,9569.979999999998,1897.0400000000002,96.71,4648.06,8491.040000000003,2171.2099999999996,2717.2399999999993,8600.810000000001
64,2020-04-14,2846.06005859375,6197.610000000001,3370.1600000000003,672.08,9946.240000000002,1952.2699999999998,99.28,4712.84,8826.34,2207.24,2825.7099999999996,8866.040000000003
65,2020-04-15,2783.360107421875,6033.889999999999,3259.9100000000008,636.8000000000001,9765.86,1889.3899999999999,96.87,4506.62,8645.039999999997,2124.27,2782.7700000000004,8760.139999999998
66,2020-04-16,2799.550048828125,5988.0999999999985,3242.8799999999997,604.9099999999999,9869.87,1893.3200000000004,97.33,4485.079999999999,8825.540000000003,2096.56,2823.15,8951.090000000002
67,2020-04-17,2874.56005859375,6273.710000000001,3344.229999999999,672.7600000000001,10058.02,1950.6299999999994,99.69000000000001,4699.859999999999,9030.140000000003,2202.59,2857.100000000001,9196.559999999996
