,Date,Index,Industrials,Real Estate,Energy,Information Technology,Utilities,Telecommunication Services,Financials,Consumer Discretionary,Materials,Consumer Staples,Health Care
0,2020-02-10,3352.090087890625,8125.51,3745.7999999999997,1130.1100000000001,11461.609999999997,2205.14,111.44,6181.849999999999,10400.76000000001,2636.5900000000006,3007.6200000000003,9545.45
1,2020-02-11,3357.75,8167.220000000002,3783.260000000001,1142.2899999999997,11496.01,2210.78,109.85,6217.22,10453.570000000002,2635.63,3000.910000000001,9632.939999999999
2,2020-02-12,3379.449951171875,8237.87,3812.85,1159.1499999999999,11607.390000000001,2211.4300000000003,109.47999999999999,6221.039999999999,10565.249999999998,2648.73,3006.629999999999,9687.65
3,2020-02-13,3373.93994140625,8196.89,3837.97,1157.2899999999997,11615.660000000002,2234.1200000000003,108.94999999999999,6230.150000000005,10548.76,2635.7099999999996,3019.5500000000006,9689.93
4,2020-02-14,3380.159912109375,8184.130000000001,3889.0399999999986,1149.6899999999998,11652.629999999996,2251.2599999999993,108.77000000000001,6249.280000000001,10528.890000000001,2640.87,3027.6100000000006,9706.23
8,2020-02-18,3370.2900390625,8139.779999999999,3880.6500000000005,1140.23,11615.08,2266.55,107.63999999999999,6210.47,10571.670000000002,2615.89,3015.9300000000003,9674.369999999997
9,2020-02-19,3386.14990234375,8131.91,3825.4,1164.78,11737.159999999998,2244.909999999999,108.12,6242.529999999999,10613.009999999997,2628.67,3015.1499999999996,9756.259999999997
10,2020-02-20,3373.22998046875,8130.550000000001,3867.81,1168.3699999999997,11645.179999999997,2247.14,108.19,6223.41,10622.580000000002,2629.6399999999994,3014.7799999999997,9674.65
11,2020-02-21,3337.75,8100.160000000002,3893.4000000000005,1152.59,11411.92,2244.2799999999997,108.1,6153.249999999996,10463.359999999999,2609.6099999999997,3010.33,9655.74
14,2020-02-24,3225.889892578125,7858.369999999999,3849.8700000000003,1095.98,10971.17,2216.78,107.24,5966.280000000001,10127.649999999998,2544.95,2946.96,9318.589999999998
15,2020-02-25,3128.2099609375,7555.379999999999,3761.48,1046.9199999999998,10636.749999999998,2167.25,105.22,5780.220000000001,9832.189999999995,2445.03,2886.3700000000003,9044.83
16,2020-02-26,3116.389892578125,7495.8600000000015,3742.080000000001,1014.1499999999999,10659.830000000002,2147.9,105.18,5759.700000000001,9720.33,2428.61,2865.2899999999995,9045.099999999999
17,2020-02-27,2978.760009765625,7245.009999999999,3527.26,962.2999999999998,10165.700000000004,2052.21,101.13,5487.5599999999995,9348.299999999997,2330.24,2761.06,8744.849999999999
18,2020-02-28,2954.219970703125,7150.4400000000005,3430.79,973.59,10250.580000000002,1983.5400000000002,99.73,5332.590000000002,9332.35,2309.42,2693.3599999999997,8676.18
21,2020-03-02,3090.22998046875,7364.450000000001,3616.09,993.0400000000002,10653.310000000001,2097.15,105.28999999999999,5619.690000000002,9539.859999999997,2405.4300000000007,2849.0999999999995,9086.4
22,2020-03-03,3003.3701171875,7184.069999999998,3603.9099999999994,966.57,10281.550000000001,2073.7899999999995,102.68,5448.3099999999995,9294.02,2395.47,2808.7999999999997,8885.28
23,2020-03-04,3130.1201171875,7493.210000000001,3756.3,984.07,10702.89,2191.000000000001,107.09,5655.2,9608.899999999998,2507.41,2938.649999999999,9401.640000000001
24,2020-03-05,3023.93994140625,7148.820000000001,3678.8100000000004,946.0899999999998,10321.839999999998,2156.44,105.1,5390.780000000001,9217.030000000002,2430.78,2894.85,9119.84
25,2020-03-06,2972.3701171875,7044.42,3622.2999999999997,877.13,10114.500000000002,2143.59,104.33,5229.389999999997,9160.320000000003,2381.7500000000005,2871.0100000000007,9015.809999999998
28,2020-03-09,2746.56005859375,6407.730000000001,3393.3900000000003,662.64,9387.429999999997,2025.55,99.34,4708.680000000001,8681.010000000002,2202.93,2750.5499999999997,8498.5
29,2020-03-10,2882.22998046875,6797.480000000002,3576.620000000001,707.86,9911.190000000002,2048.8599999999997,102.05000000000001,4969.76,9104.59,2287.83,2820.8099999999995,8816.159999999998
30,2020-03-11,2741.3798828125,6441.879999999999,3420.35,649.8199999999999,9424.66,1945.2800000000002,98.28,4693.460000000001,8578.109999999997,2171.1599999999994,2684.99,8413.890000000001
