Close,Date,Index
3352.090087890625,2020-02-10,3352.090087890625
3357.75,2020-02-11,3357.75
3379.449951171875,2020-02-12,3379.449951171875
3373.93994140625,2020-02-13,3373.93994140625
3380.159912109375,2020-02-14,3380.159912109375
3380.159912109375,2020-02-15,3380.159912109375
3380.159912109375,2020-02-16,3380.159912109375
3380.159912109375,2020-02-17,3380.159912109375
3370.2900390625,2020-02-18,3370.2900390625
3386.14990234375,2020-02-19,3386.14990234375
3373.22998046875,2020-02-20,3373.22998046875
3337.75,2020-02-21,3337.75
3337.75,2020-02-22,3337.75
3337.75,2020-02-23,3337.75
3225.889892578125,2020-02-24,3225.889892578125
3128.2099609375,2020-02-25,3128.2099609375
3116.389892578125,2020-02-26,3116.389892578125
2978.760009765625,2020-02-27,2978.760009765625
2954.219970703125,2020-02-28,2954.219970703125
2954.219970703125,2020-02-29,2954.219970703125
2954.219970703125,2020-03-01,2954.219970703125
3090.22998046875,2020-03-02,3090.22998046875
3003.3701171875,2020-03-03,3003.3701171875
3130.1201171875,2020-03-04,3130.1201171875
3023.93994140625,2020-03-05,3023.93994140625
2972.3701171875,2020-03-06,2972.3701171875
2972.3701171875,2020-03-07,2972.3701171875
2972.3701171875,2020-03-08,2972.3701171875
2746.56005859375,2020-03-09,2746.56005859375
2882.22998046875,2020-03-10,2882.22998046875
2741.3798828125,2020-03-11,2741.3798828125
2480.639892578125,2020-03-12,2480.639892578125
2711.02001953125,2020-03-13,2711.02001953125
2711.02001953125,2020-03-14,2711.02001953125
2711.02001953125,2020-03-15,2711.02001953125
2386.1298828125,2020-03-16,2386.1298828125
2529.18994140625,2020-03-17,2529.18994140625
2398.10009765625,2020-03-18,2398.10009765625
2409.389892578125,2020-03-19,2409.389892578125
2304.919921875,2020-03-20,2304.919921875
2304.919921875,2020-03-21,2304.919921875
2304.919921875,2020-03-22,2304.919921875
2237.39990234375,2020-03-23,2237.39990234375
2447.330078125,2020-03-24,2447.330078125
2475.56005859375,2020-03-25,2475.56005859375
2630.070068359375,2020-03-26,2630.070068359375
2541.469970703125,2020-03-27,2541.469970703125
2541.469970703125,2020-03-28,2541.469970703125
2541.469970703125,2020-03-29,2541.469970703125
2626.64990234375,2020-03-30,2626.64990234375
2584.590087890625,2020-03-31,2584.590087890625
2470.5,2020-04-01,2470.5
2526.89990234375,2020-04-02,2526.89990234375
2488.64990234375,2020-04-03,2488.64990234375
2488.64990234375,2020-04-04,2488.64990234375
2488.64990234375,2020-04-05,2488.64990234375
2663.679931640625,2020-04-06,2663.679931640625
2659.409912109375,2020-04-07,2659.409912109375
2749.97998046875,2020-04-08,2749.97998046875
2789.820068359375,2020-04-09,2789.820068359375
2789.820068359375,2020-04-10,2789.820068359375
2789.820068359375,2020-04-11,2789.820068359375
2789.820068359375,2020-04-12,2789.820068359375
2761.6298828125,2020-04-13,2761.6298828125
2846.06005859375,2020-04-14,2846.06005859375
2783.360107421875,2020-04-15,2783.360107421875
2799.550048828125,2020-04-16,2799.550048828125
2874.56005859375,2020-04-17,2874.56005859375
